column_a,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,date,fulldate,fulltime,fulldatewithtime
1,T00695247,A00002378,Credit,Credit in Cash,700.0,700.0,,,,2013,1,1,2013-01-01,2013-01-01,11:02:40,2013-01-01T11:02:40
2,T00171812,A00000576,Credit,Credit in Cash,900.0,900.0,,,,2013,1,1,2013-01-01,2013-01-01,08:23:33,2013-01-01T08:23:33
3,T00207264,A00000704,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,1,2013-01-01,2013-01-01,15:19:21,2013-01-01T15:19:21
4,T01117247,A00003818,Credit,Credit in Cash,600.0,600.0,,,,2013,1,1,2013-01-01,2013-01-01,10:42:35,2013-01-01T10:42:35
5,T00579373,A00001972,Credit,Credit in Cash,400.0,400.0,,,,2013,1,2,2013-01-02,2013-01-02,11:39:25,2013-01-02T11:39:25
6,T00771035,A00002632,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,2,2013-01-02,2013-01-02,15:15:12,2013-01-02T15:15:12
7,T00452728,A00001539,Credit,Credit in Cash,600.0,600.0,,,,2013,1,3,2013-01-03,2013-01-03,09:34:29,2013-01-03T09:34:29
8,T00725751,A00002484,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,3,2013-01-03,2013-01-03,09:36:35,2013-01-03T09:36:35
9,T00497211,A00001695,Credit,Credit in Cash,200.0,200.0,,,,2013,1,3,2013-01-03,2013-01-03,15:22:23,2013-01-03T15:22:23
10,T00232960,A00000793,Credit,Credit in Cash,800.0,800.0,,,,2013,1,3,2013-01-03,2013-01-03,15:08:16,2013-01-03T15:08:16
11,T00505240,A00001726,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,3,2013-01-03,2013-01-03,13:54:49,2013-01-03T13:54:49
12,T00144541,A00000485,Credit,Credit in Cash,300.0,300.0,,,,2013,1,4,2013-01-04,2013-01-04,16:40:53,2013-01-04T16:40:53
13,T00637741,A00002177,Credit,Credit in Cash,800.0,800.0,,,,2013,1,4,2013-01-04,2013-01-04,10:30:59,2013-01-04T10:30:59
14,T00689827,A00002357,Credit,Credit in Cash,800.0,800.0,,,,2013,1,4,2013-01-04,2013-01-04,16:29:16,2013-01-04T16:29:16
15,T00846006,A00002881,Credit,Credit in Cash,700.0,700.0,,,,2013,1,4,2013-01-04,2013-01-04,09:29:01,2013-01-04T09:29:01
16,T00637742,A00002177,Credit,Collection from Another Bank,5123.0,5923.0,Old Age Pension,State Street Corp.,62457513,2013,1,5,2013-01-05,2013-01-05,16:44:42,2013-01-05T16:44:42
17,T02908688,A00009635,Credit,Credit in Cash,400.0,400.0,,,,2013,1,5,2013-01-05,2013-01-05,13:32:11,2013-01-05T13:32:11
18,T00232961,A00000793,Credit,Collection from Another Bank,3401.0,4201.0,,Goldman Sachs,6149286,2013,1,5,2013-01-05,2013-01-05,11:56:11,2013-01-05T11:56:11
19,T00192096,A00000652,Credit,Credit in Cash,700.0,700.0,,,,2013,1,5,2013-01-05,2013-01-05,09:28:49,2013-01-05T09:28:49
